DIRETORIA TÉCNICA E DE ENGENHARIA - DTE,,,,,,,,,,,,,,,,
A - ATIVIDADES OPERACIONAIS - COORDENADORIA DE DESTINAÇÃO DE RESÍDUOS - TCD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Coleta Domiciliar e Comunidade,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,719","0,72","0,728","0,72","0,746","0,737","0,786","0,852","0,814","0,815","0,769","0,696","0,682",,,
Gerência Ofensora 1,SG05C,CG13M,CG13M,CG13M,CG13M,CG13M,SG27R,SG27R,SG27R,SG27R,SG27R,SG27R,SG27R,,,
,"0,479","0,587","0,579","0,569","0,583","0,596","0,595","0,585","0,561","0,572","0,555","0,499","0,476",,,
Gerência Ofensora 2,SG06L,CG10R,SG27R,SG05C,SG27R,SG27R,CG13M,CG13M,CG13M,CG13M,CG13M,CG13M,CG13M,,,
,"0,539","0,617","0,602","0,575","0,605","0,608","0,618","0,653","0,619","0,628","0,591","0,513","0,492",,,
Gerência Ofensora 3,CG13M,SG27R,SG05C,SG27R,SG05C,SG05C,SG05C,SG02C,SG06L,SG05C,OG26P,OG26P,OG26P,,,
,"0,575","0,618","0,646","0,598","0,617","0,624","0,668","0,709","0,713","0,695","0,641","0,569","0,555",,,
Critérios: CDC e CDO,,,,,,,,,,,,,,,,
Serviços: CDC e CDO,,,,,,,,,,,,,,,,
"Compactador P6: 6,8 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
"Compactador P7: 11,0 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Manual - P8,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,937","1,005","0,948","0,898","0,938","1,077","1,041","0,922","0,909","1,023","0,993","1,115","1,02",,,
Obs: Reporte inconsistente de carregamento manual na utilização do P8,,,,,,,,,,,,,,,,
Gerência Ofensora 1,SG03R,OG33R,CG10R,OG33R,BG24R,BG24R,OG33R,BG24B,BG24B,BG24B,BG24B,BG24B,BG24B,,,
,"0,144","0,472","0,152","0,369","0,311","0,223","0,402","0,57","0,401","0,352","0,278","0,234","0,353",,,
Gerência Ofensora 2,NG25F,NG25F,OG33R,BG24B,OG33R,BG24B,BG24B,OG33R,OG33R,OG33R,BG24R,OG33R,OG19C,,,
,"0,424","0,535","0,354","0,376","0,394","0,39","0,485","0,661","0,442","0,53","0,415","0,448","0,472",,,
Gerência Ofensora 3,BG24R,BG24R,NG25F,NG25F,NG25F,OG33R,CG09V,SG04B,SG07S,CG09V,OG33R,SG04B,OG33R,,,
,"0,47","0,562","0,407","0,541","0,453","0,55","0,543","0,729","0,481","0,662","0,544","0,552","0,485",,,
Critérios: Remoção Manual,,,,,,,,,,,,,,,,
Remoção Manual,,,,,,,,,,,,,,,,
"Basculante P8: 2,7 t x 2 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Mecanizada - P8,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,608","0,628","0,625","0,632","0,584","0,638","0,619","0,487","0,57","0,559","0,559","0,537","0,578",,,
Gerência Ofensora 1,OG26P,CG09V,CG10R,NG15M,BG24B,CG09V,BG24B,CG08T,BG24B,SG06L,BG24B,BG24B,BG24B,,,
,"0,312","0,363","0,32","0,113","0,422","0,434","0,302","0,295","0,267","0,214","0,244","0,222","0,281",,,
Gerência Ofensora 2,SG01P,BG16J,CG09V,CG09V,CG09V,BG24B,NGE,BG16F,CG08T,BG24B,CG08T,CG08T,CG08T,,,
,"0,394","0,413","0,418","0,403","0,476","0,475","0,385","0,344","0,296","0,271","0,343","0,306","0,322",,,
Gerência Ofensora 3,SG27R,BG24R,BG24R,SG03R,SG27R,SG03R,CG09V,BG24B,CG09V,CG08T,BG24R,SG27R,SG27R,,,
,"0,435","0,442","0,456","0,485","0,494","0,487","0,397","0,344","0,434","0,328","0,46","0,327","0,388",,,
Critérios: Remoção Mecanizada - P8,,,,,,,,,,,,,,,,
Remoção Mecanizada,,,,,,,,,,,,,,,,
"Basculante P8: 6,0 t x 3 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Mecanizada - P9,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,684","0,696","0,727","0,719","0,706","0,751","0,727","0,645","0,728","0,684","0,703","0,678","0,688",,,
Gerência Ofensora 1,BG24R,BG16J,BG24R,BG16J,OG33R,BG16J,CG20G,CG20G,CG20G,CD29A,SG27R,BG16F,CG20G,,,
,"0,429","0,436","0,163","0,476","0,471","0,424","0,443","0,349","0,387","0,288","0,236","0,408","0,474",,,
Gerência Ofensora 2,BG24B,OG33R,BG16J,OG18V,BG16J,OG33R,OG33R,NG14I,NG14I,SG27R,CG20G,BG16J,BG16J,,,
,"0,459","0,526","0,471","0,487","0,487","0,53","0,538","0,459","0,51","0,366","0,479","0,431","0,475",,,
Gerência Ofensora 3,BG16J,BG16F,OG33R,CG13M,CG20G,CG20G,NG14I,NG11P,OG33R,NG31V,BG16F,CG20G,BG16F,,,
,"0,465","0,542","0,565","0,5","0,507","0,565","0,551","0,506","0,562","0,396","0,496","0,457","0,475",,,
Critérios:Remoção Mecanizada - P9,,,,,,,,,,,,,,,,
Remoção Mecanizada,,,,,,,,,,,,,,,,
"Basculante P9: 9,3 t x 4 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Caixa Estacionária - P10,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,554","0,529","0,412","0,477","0,523","0,529","0,536","0,524","0,486","0,48","0,483","0,515","0,546",,,
Gerência Ofensora 1,CG08T,CG09V,CG08T,CG08T,CG08T,SG05C,CG08T,CG08T,SG03R,CG08T,SG05C,SG03R,SG27R,,,
,"0,26","0,317","0,208","0,273","0,175","0,308","0,23","0,183","0,335","0,264","0,277","0,313","0,382",,,
Gerência Ofensora 2,SG27R,SG05C,SG05C,SG05C,SG05C,SG27R,SG27R,SG03R,SG05C,SG27R,CG08T,CG08T,CG08T,,,
,"0,303","0,334","0,306","0,345","0,313","0,348","0,379","0,31","0,382","0,356","0,3","0,344","0,383",,,
Gerência Ofensora 3,SG07S,SG27R,SG27R,SG27R,SG27R,CG08T,SG03R,SG27R,SG27R,SG03R,SG27R,SG27R,SG05C,,,
,"0,54","0,392","0,338","0,43","0,371","0,401","0,427","0,388","0,393","0,378","0,324","0,415","0,39",,,
Critérios:,,,,,,,,,,,,,,,,
Remoção Caixa Estacionária,,,,,,,,,,,,,,,,
"Poliguindaste Simples P10: 2,1 t x 4 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Remoção Caixa Estacionária - P10A,mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
Peso Coletado / Capacidade Estimada (t),"0,52","0,491","0,51","0,546","0,578","0,575","0,587","0,538","0,542","0,558","0,566","0,546","0,589",,,
Gerência Ofensora 1,SG04B,SG04B,SG04B,NG15M,NG22A,OG18V,NG22A,NG15M,NG15M,NG15M,NG22A,NG31V,NG31V,,,
,"0,147","0,079","0,1","0,161","0,141","0,095","0,129","0,123","0,159","0,254","0,191","0,276","0,21",,,
Gerência Ofensora 2,NG14I,NG22A,NG22A,SG04B,NG15M,SG04B,NG15M,NG31V,NG14I,NG22A,CG13M,SG06L,CG13M,,,
,"0,174","0,174","0,154","0,19","0,143","0,219","0,171","0,27","0,271","0,262","0,278","0,288","0,251",,,
Gerência Ofensora 3,NG22A,NG14I,CG12I,NG22A,SG04B,NG31V,NG31V,NG14I,CG13P,CG09V,OG18V,CG13M,NG22A,,,
,"0,227","0,2","0,192","0,235","0,205","0,25","0,218","0,311","0,344","0,281","0,283","0,29","0,288",,,
Critérios:,,,,,,,,,,,,,,,,
Remoção Caixa Estacionária,,,,,,,,,,,,,,,,
"Poliguindaste Duplo P10A: 3,7 t x 3 viagens / apresentação",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Utilização de Tratores de Comunidade,,,,,,,,,,,,,,,,
Horas Utilizadas / Horas Estimadas (h),mai.-25,jun.-25,jul.-25,ago.-25,set.-25,out.-25,nov.-25,dez.-25,jan.-26,fev.-26,mar.-26,abr.-26,mai.-26,,,
P15A - Trator de Comunidade - h/mês,"0,563","0,577","0,64","0,762","0,678","0,713","0,642","0,688","0,592","0,507","0,604","0,57","0,564",,,
,,,,,,,,,,,,,,,,
Gerência Ofensora 1,OG33R,CG10R,BG16J,BG16J,BG16J,NG22A,OG26P,BG16F,BG16F,CG08T,CD29A,CG08T,BG16J,,,
